4.261710340213952786e-01,2.478402772042066216e-01,2.762901992192207112e-01,2.706650530599845617e-01,2.458692509344117261e-01,2.418163486168596887e-01,1.882858098325380924e-01,1.699108343744054894e-01,1.759179159358328359e-01,1.727104551600143756e-01,1.740025344192270562e-01,2.738377796971216416e-01
2.767729742194661724e-01,4.760245175142103768e-01,3.101457528723212120e-01,2.860700227211232516e-01,2.509764410676517676e-01,2.252716490782994962e-01,1.834478822515243079e-01,1.664688752835763452e-01,1.586718047145410371e-01,1.518125933846297404e-01,1.485190797520844208e-01,2.901912009865258435e-01
2.510404408188374181e-01,3.523978187800781425e-01,2.656513183071061990e-01,2.575917339612193713e-01,1.892060636373533167e-01,1.851642249177511135e-01,1.552444448556343781e-01,1.287587243630445855e-01,1.162882478429139305e-01,1.128707090322617207e-01,1.050259523035544373e-01,2.656381099724388628e-01
2.064781542106496615e-01,2.348483233439074835e-01,2.175418086272814244e-01,1.971028566304153518e-01,1.515323749144042442e-01,1.238880095185710684e-01,1.019895120028392194e-01,9.107203464054364206e-02,8.367373364501543009e-02,8.151412629228457774e-02,7.985516944429787989e-02,2.869086538513613283e-01
1.830570960544616044e-01,1.972022823180555329e-01,2.093992811900576845e-01,2.003230398808257540e-01,1.410688300723874633e-01,1.088640458637460118e-01,9.357768391496619487e-02,8.203171672405380754e-02,7.329823006930918927e-02,7.166747212466387240e-02,7.103198927561645004e-02,2.464352081227636493e-01
2.149896105044458716e-01,2.076361164071514054e-01,1.767840446895841133e-01,1.230639766174387029e-01,1.073215073225173288e-01,8.407499771828311208e-02,8.035768825242127489e-02,7.384710795461377209e-02,6.961401556343016495e-02,6.777880175981841615e-02,6.656392227109293735e-02,2.329833780875185945e-01
1.898792425648559434e-01,1.979908114904850858e-01,1.335511919671130421e-01,1.156243156799283134e-01,9.703176142591009301e-02,8.440452382395775832e-02,7.426483729596058958e-02,6.931988718923191850e-02,6.702307994601916508e-02,6.571293312913993601e-02,6.585706834041991919e-02,2.243243245434986266e-01
1.603822032938125031e-01,1.688944165986417389e-01,1.070079607089709783e-01,9.421499790206327996e-02,8.408179655051574442e-02,7.361906735464329721e-02,6.871841275159797091e-02,6.624028374610160808e-02,6.519474043034621802e-02,6.268903126318429997e-02,6.243407630827928212e-02,2.228653199028960974e-01
1.529154971052381073e-01,1.631893640722170691e-01,9.121376044272973271e-02,8.410357474541055312e-02,8.260159072796396940e-02,7.100058336650642843e-02,6.713016289311599105e-02,6.513566424375664965e-02,6.351539892032602441e-02,6.184077744450190706e-02,6.106420203736906416e-02,2.245630205515935784e-01
2.182531385691030557e-01,1.671307745869148875e-01,8.511906685112013982e-02,8.306355942539797588e-02,7.686273670240649503e-02,6.967512452053238603e-02,6.485633925728157001e-02,6.273826711460213368e-02,6.116577234799029650e-02,6.012411761831704116e-02,5.936681147277698967e-02,2.272810180141083269e-01
2.239075115294407448e-01,1.625003574398108941e-01,8.916513639959400273e-02,8.046613367951659102e-02,7.406749422166197805e-02,6.822531218642319262e-02,6.409656607620239921e-02,6.189669232121596670e-02,6.001751842688259758e-02,5.951141530488505277e-02,5.919414520182246509e-02,2.274523051297665244e-01
1.873560515059387033e-01,1.607814482689203239e-01,8.713376573014236515e-02,7.850333153328459268e-02,7.395454234422182971e-02,6.810014051971172155e-02,6.376555342823693462e-02,6.149626146696671875e-02,4.722174434693858502e-02,5.897919079044040142e-02,5.904529938614375834e-02,2.246616210576045380e-01
