################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.0652805120527655E-01 a       117     0    12     1     7
  4.0408863800836734E+00 a       118     0    12     1     8
 -3.0599845999399502E+00 a       119     0    12     1     9
  8.0918515241133147E+00 a       120     0    12     1    10
  3.4254234030690354E+00 a       121     0    13     1     1
 -1.4944929485433578E+00 a       122     0    13     1     2
 -5.9821528859309838E+00 a       123     0    13     1     3
 -1.0330799837037244E+01 a       124     0    13     1     4
  4.1553074000504671E+00 a       125     0    13     1     5
 -3.6639905702677528E-01 a       126     0    13     1     6
  9.7576893961985878E+00 a       127     0    13     1     7
  6.4185150396595976E+00 a       128     0    13     1     8
 -1.0731686573880108E+01 a       129     0    13     1     9
  7.0757326560663287E+00 a       130     0    13     1    10
  7.0029848807824475E+00 a       131     0    14     1     1
 -8.5223322010615004E+00 a       132     0    14     1     2
 -6.0842766122766676E+00 a       133     0    14     1     3
 -2.0842803828841230E+01 a       134     0    14     1     4
 -3.5129925785163381E+00 a       135     0    14     1     5
 -2.3222394707436806E+01 a       136     0    14     1     6
  1.8762409430587632E+00 a       137     0    14     1     7
  6.9933854633484449E-01 a       138     0    14     1     8
  7.9553990724149959E-01 a       139     0    14     1     9
 -1.2497219739069110E+00 a       140     0    14     1    10
  4.8261806610759335E+00 a       141     0    15     1     1
 -2.0445513697645243E-01 a       142     0    15     1     2
  4.3744009648553552E+00 a       143     0    15     1     3
 -6.3883052746725895E+00 a       144     0    15     1     4
  7.0619601171288835E+00 a       145     0    15     1     5
  1.8309691343385972E+00 a       146     0    15     1     6
 -3.3533459220010196E+00 a       147     0    15     1     7
  4.4135269130338592E+00 a       148     0    15     1     8
  4.1009437807228064E+00 a       149     0    15     1     9
  2.1379509575972282E+00 a       150     0    15     1    10
 -5.1498273538305375E+00 a       151     0    16     1     1
 -1.1005382257746161E+00 a       152     0    16     1     2
 -4.3985074190746998E+00 a       153     0    16     1     3
  1.0431770387075774E+01 a       154     0    16     1     4
 -5.3456291650247474E+00 a       155     0    16     1     5
  4.7998402154308071E+00 a       156     0    16     1     6
 -6.0564112784851449E+00 a       157     0    16     1     7
 -4.2645592632053342E-01 a       158     0    16     1     8
  1.2681994710639768E+00 a       159     0    16     1     9
  3.6435588022860466E+00 a       160     0    16     1    10
  1.1098008362869582E+00 a       161     0    17     1     1
  6.4329252775092147E+00 a       162     0    17     1     2
 -3.2942143656375595E+00 a       163     0    17     1     3
  4.4245765634597998E+00 a       164     0    17     1     4
  3.1919395626348468E+00 a       165     0    17     1     5
  5.5047792975078058E-01 a       166     0    17     1     6
 -5.2613485856879167E+00 a       167     0    17     1     7
  2.4181919003829808E+00 a       168     0    17     1     8
  4.0939935608762923E+00 a       169     0    17     1     9
  3.8870650121422261E+00 a       170     0    17     1    10
 -1.9326004634152651E+00 a       171     0    18     1     1
  8.7813884273630827E-01 a       172     0    18     1     2
  1.3197286289135582E-01 a       173     0    18     1     3
  1.9898836465184544E+01 a       174     0    18     1     4
  4.9002381333368197E+00 a       175     0    18     1     5
  7.0833256383347880E+00 a       176     0    18     1     6
  5.0422123226009550E+00 a       177     0    18     1     7
