################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3218234725212753E+01 a         1     0     1     1     1
  2.2540701869239577E+01 a         2     0     1     1     2
  2.0537961265258589E+00 a         3     0     1     1     3
 -1.4160593237946154E+01 a         4     0     1     1     4
  8.0797842041176029E+00 a         5     0     1     1     5
 -8.6602643692524630E+00 a         6     0     1     1     6
  7.7600469837240471E+00 a         7     0     1     1     7
  1.2085974211479469E+01 a         8     0     1     1     8
  7.1360777800053632E-01 a         9     0     1     1     9
  2.4638025696754603E+01 a        10     0     1     1    10
  3.0123254512352720E+01 a        11     0     2     1     1
 -2.3521461896409093E+01 a        12     0     2     1     2
 -1.1587064479364868E+00 a        13     0     2     1     3
  3.9060643575955432E+01 a        14     0     2     1     4
 -1.8035620791818538E+01 a        15     0     2     1     5
  2.1534939380063303E+01 a        16     0     2     1     6
 -1.6534109631987654E+01 a        17     0     2     1     7
 -3.3813715699940204E+01 a        18     0     2     1     8
 -7.9837293217316798E+00 a        19     0     2     1     9
 -2.3971806746929534E+01 a        20     0     2     1    10
  1.3647633973942662E+01 a        21     0     3     1     1
 -2.0236715741774599E+01 a        22     0     3     1     2
 -1.3573317174962067E+01 a        23     0     3     1     3
 -4.0578925627360896E+01 a        24     0     3     1     4
 -8.9855674084861050E+00 a        25     0     3     1     5
 -1.0036854633338963E+01 a        26     0     3     1     6
 -9.8063782562278856E+00 a        27     0     3     1     7
  3.9645177078347047E+01 a        28     0     3     1     8
  1.8788446289888778E+01 a        29     0     3     1     9
 -2.5502804364763275E+01 a        30     0     3     1    10
 -3.8951772062699106E+01 a        31     0     4     1     1
  4.7939441245982174E+01 a        32     0     4     1     2
  2.9035339316534994E+01 a        33     0     4     1     3
  3.0673723583631414E+01 a        34     0     4     1     4
