################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7966984010808208E+01 a        35     0     4     1     5
 -4.8784946882648788E+00 a        36     0     4     1     6
  2.6201836611264579E+01 a        37     0     4     1     7
 -2.3959388717720223E+01 a        38     0     4     1     8
 -3.3177395566570425E+01 a        39     0     4     1     9
  3.5808148825003137E+01 a        40     0     4     1    10
  2.4947051021767219E+01 a        41     0     5     1     1
 -3.8988657146907130E+01 a        42     0     5     1     2
 -3.1380917441454905E+01 a        43     0     5     1     3
 -2.4390220705031819E+01 a        44     0     5     1     4
 -2.0058377610698980E+01 a        45     0     5     1     5
  4.5274417355132925E+00 a        46     0     5     1     6
 -2.2361076309911130E+01 a        47     0     5     1     7
  7.4652011485753889E+00 a        48     0     5     1     8
  3.5694714859642588E+01 a        49     0     5     1     9
  2.3583610270974593E+00 a        50     0     5     1    10
 -4.9604587355102927E+00 a        51     0     6     1     1
  1.7943976387731301E+01 a        52     0     6     1     2
  2.8247707704797552E+01 a        53     0     6     1     3
  1.4863532984403431E+01 a        54     0     6     1     4
  4.3789783491730789E+00 a        55     0     6     1     5
 -2.5064167012493845E+00 a        56     0     6     1     6
  1.8740020767065349E+01 a        57     0     6     1     7
 -2.3265147269704398E+00 a        58     0     6     1     8
 -2.6189186240861790E+01 a        59     0     6     1     9
 -2.5081634164174666E+01 a        60     0     6     1    10
 -4.3737325914271103E+00 a        61     0     7     1     1
 -3.9925668474525340E+00 a        62     0     7     1     2
 -2.2141552439723181E+01 a        63     0     7     1     3
 -6.3216904665368832E+00 a        64     0     7     1     4
  3.8602439116957235E+00 a        65     0     7     1     5
  1.0261227261439121E+00 a        66     0     7     1     6
 -6.8034911411005305E+00 a        67     0     7     1     7
  1.2874527588893030E+00 a        68     0     7     1     8
  1.6094071641150716E+01 a        69     0     7     1     9
  1.9397149359730669E+01 a        70     0     7     1    10
  4.4676368738777521E+00 a        71     0     8     1     1
 -1.1392511351942309E+00 a        72     0     8     1     2
  1.2305356746993176E+01 a        73     0     8     1     3
  4.5829979674073373E-01 a        74     0     8     1     4
 -1.1966937668085864E+00 a        75     0     8     1     5
  1.2937760226392887E+00 a        76     0     8     1     6
 -2.1377521043644681E+00 a        77     0     8     1     7
 -1.4185631737904083E+00 a        78     0     8     1     8
 -7.3145778717170016E+00 a        79     0     8     1     9
 -7.8235762785858363E+00 a        80     0     8     1    10
 -1.3221676091331112E+00 a        81     0     9     1     1
  8.8394072525928524E-01 a        82     0     9     1     2
 -5.1920439307332993E+00 a        83     0     9     1     3
  5.3059261735590502E-01 a        84     0     9     1     4
 -1.4052146476641956E+00 a        85     0     9     1     5
 -8.7838552755956412E-01 a        86     0     9     1     6
  4.5282216501196260E+00 a        87     0     9     1     7
  8.9143081320703432E-01 a        88     0     9     1     8
  1.3540551930390881E+00 a        89     0     9     1     9
  1.9344991826219253E+00 a        90     0     9     1    10
  8.3684537280747373E-02 a        91     0    10     1     1
 -1.6321877489372560E-01 a        92     0    10     1     2
  6.5526510273975225E-01 a        93     0    10     1     3
 -1.1141157354448358E-01 a        94     0    10     1     4
  5.8629433113816028E-02 a        95     0    10     1     5
  1.0176148243552668E-01 a        96     0    10     1     6
 -2.5487481562510950E+00 a        97     0    10     1     7
 -1.7393996543854498E-01 a        98     0    10     1     8
  1.1827892058444374E-01 a        99     0    10     1     9
 -3.6215512918350201E-01 a       100     0    10     1    10
  3.4136112937667473E+00 a       101     0    11     1     1
  6.7928906355720109E+00 a       102     0    11     1     2
  2.8227983379028121E+00 a       103     0    11     1     3
 -3.5597840236431395E+00 a       104     0    11     1     4
  2.9560036570400898E+00 a       105     0    11     1     5
 -2.6357088977360990E+00 a       106     0    11     1     6
 -1.6137990719993393E+01 a       107     0    11     1     7
 -2.7706475027945996E+00 a       108     0    11     1     8
 -4.4048881818569781E+00 a       109     0    11     1     9
 -6.2732647988251413E+00 a       110     0    11     1    10
 -7.2191380207609797E+00 a       111     0    12     1     1
 -1.1115129510377097E+01 a       112     0    12     1     2
 -3.9009367716736825E+00 a       113     0    12     1     3
  3.9859929373081284E+00 a       114     0    12     1     4
  1.0461048078675573E+01 a       115     0    12     1     5
  8.0400319849058444E-01 a       116     0    12     1     6
  2.5559551223498474E+01 a       117     0    12     1     7
  3.4689951023065460E+00 a       118     0    12     1     8
  9.9321579541179332E+00 a       119     0    12     1     9
  3.3217285473718290E+00 a       120     0    12     1    10
 -2.0365702120859561E+00 a       121     0    13     1     1
 -7.2672806345332386E-01 a       122     0    13     1     2
 -1.1408337659224028E+00 a       123     0    13     1     3
  4.1655326450948599E-01 a       124     0    13     1     4
 -2.2255238948689158E+00 a       125     0    13     1     5
 -2.2537357481380069E+00 a       126     0    13     1     6
  8.0824941287125522E+00 a       127     0    13     1     7
  4.6340512700851622E-01 a       128     0    13     1     8
  3.1703787355459262E-01 a       129     0    13     1     9
  1.3470943580182508E+00 a       130     0    13     1    10
  5.6125770434410960E+00 a       131     0    14     1     1
  4.0010653541335026E+00 a       132     0    14     1     2
  1.9774573951695773E+00 a       133     0    14     1     3
 -2.1965085865166079E+00 a       134     0    14     1     4
 -6.6101116618588112E+00 a       135     0    14     1     5
  2.2776484453118040E+00 a       136     0    14     1     6
 -1.1606857006807953E+01 a       137     0    14     1     7
 -1.6176937244452270E+00 a       138     0    14     1     8
 -4.1428579038226037E+00 a       139     0    14     1     9
 -7.9547748032366405E-01 a       140     0    14     1    10
 -3.1284009479591433E+00 a       141     0    15     1     1
 -2.1314392128895893E-01 a       142     0    15     1     2
 -5.2135848586138831E+00 a       143     0    15     1     3
  7.0604872708635591E-01 a       144     0    15     1     4
  5.9193429086480542E-01 a       145     0    15     1     5
  3.6414934477831227E+00 a       146     0    15     1     6
  3.0155071543990770E+00 a       147     0    15     1     7
  2.4467604500123180E-01 a       148     0    15     1     8
  1.7540793669258272E+00 a       149     0    15     1     9
  9.7368152653112172E-01 a       150     0    15     1    10
  2.5919459533364395E+00 a       151     0    16     1     1
  1.8244481518371498E+00 a       152     0    16     1     2
  4.2087135936698559E+00 a       153     0    16     1     3
  5.3802394954756201E-02 a       154     0    16     1     4
 -2.8728716942965522E+00 a       155     0    16     1     5
 -4.4680624193800025E+00 a       156     0    16     1     6
 -7.0578514281080702E+00 a       157     0    16     1     7
  1.7603563299788996E-01 a       158     0    16     1     8
 -4.0203149033031078E+00 a       159     0    16     1     9
 -1.7624006869376041E+00 a       160     0    16     1    10
  7.6114225375965028E-01 a       161     0    17     1     1
  1.9616759475261789E-04 a       162     0    17     1     2
  2.6664468029098525E+00 a       163     0    17     1     3
  3.0006026133101249E-01 a       164     0    17     1     4
 -5.5012707752438950E-01 a       165     0    17     1     5
 -5.6803103752882422E-01 a       166     0    17     1     6
 -1.9694587435217648E+00 a       167     0    17     1     7
  3.5184821553094781E-01 a       168     0    17     1     8
 -3.7096447772927960E-01 a       169     0    17     1     9
 -6.9594847607443011E-01 a       170     0    17     1    10
 -7.3178348925245573E-01 a       171     0    18     1     1
 -1.1669274037947288E+00 a       172     0    18     1     2
 -1.0179190086683239E+00 a       173     0    18     1     3
  1.6995571826503292E-01 a       174     0    18     1     4
  2.0536647749098220E+00 a       175     0    18     1     5
  1.1206531171134773E+00 a       176     0    18     1     6
  2.9350381617064336E+00 a       177     0    18     1     7
 -1.8401470856730818E-02 a       178     0    18     1     8
  2.1468483429385699E+00 a       179     0    18     1     9
  1.5582262233051072E+00 a       180     0    18     1    10
 -9.0074683404019229E-01 b       181     1     1
  1.6641196015420018E-01 b       182     1     2
 -1.0331727975355334E+00 b       183     1     3
  3.7657452036654027E-01 b       184     1     4
 -7.9811635944471507E-03 b       185     1     5
  6.4924805671329510E-03 b       186     1     6
 -4.0792813174563208E-01 b       187     1     7
 -1.0910795896851930E+00 b       188     1     8
  1.5473936195565254E-03 b       189     1     9
 -1.0038722952775339E+00 b       190     1    10
  1.5096451139679499E+00 a       191     1     1     2     1
 -7.7625285773172503E-01 a       192     1     1     2     2
  4.1992121820672370E+00 a       193     1     1     2     3
 -2.0898035691056407E+00 a       194     1     1     2     4
  2.6712722783845924E+00 a       195     1     1     2     5
  1.9582668727164525E+00 a       196     1     1     2     6
 -1.8124238125888303E+00 a       197     1     1     2     7
 -3.1391843882343737E+00 a       198     1     1     2     8
  5.3113758302565950E-01 a       199     1     1     2     9
 -2.4332640767745191E+00 a       200     1     1     2    10
  3.3116522279628753E+00 a       201     1     2     2     1
  4.5744324426969571E+00 a       202     1     2     2     2
 -1.8229377884274334E+00 a       203     1     2     2     3
  7.9593115668175496E-01 a       204     1     2     2     4
 -2.9585858215365226E+00 a       205     1     2     2     5
 -1.9940029565513482E+00 a       206     1     2     2     6
 -1.7666199147569301E+00 a       207     1     2     2     7
  4.8511589456766462E+00 a       208     1     2     2     8
 -1.7725705767659439E+00 a       209     1     2     2     9
  4.2742065818046751E+00 a       210     1     2     2    10
  3.8836614410440298E+00 a       211     1     3     2     1
  5.2296499479243543E+00 a       212     1     3     2     2
  5.2325032651273551E+00 a       213     1     3     2     3
  2.9854303086555753E+00 a       214     1     3     2     4
 -9.8693415836072551E-01 a       215     1     3     2     5
 -9.6186319274076160E-01 a       216     1     3     2     6
  5.1466277313075981E+00 a       217     1     3     2     7
  3.1362472861074027E+00 a       218     1     3     2     8
 -4.1081635356259589E+00 a       219     1     3     2     9
  3.9062415626693419E+00 a       220     1     3     2    10
  1.0561384434678864E+00 a       221     1     4     2     1
  2.0710341021303273E+00 a       222     1     4     2     2
  1.4519428850051792E+00 a       223     1     4     2     3
 -2.7088808212860518E+00 a       224     1     4     2     4
  3.9510629066631182E+00 a       225     1     4     2     5
  1.2154147538071227E+00 a       226     1     4     2     6
 -5.9062357635194063E-01 a       227     1     4     2     7
 -3.8104034932414681E+00 a       228     1     4     2     8
 -1.5812396138710803E+00 a       229     1     4     2     9
 -4.7598298871207048E+00 a       230     1     4     2    10
 -6.9627248355356652E-01 a       231     1     5     2     1
  2.0090293596442073E+00 a       232     1     5     2     2
 -3.5945781952283884E+00 a       233     1     5     2     3
 -1.1525258295099474E+00 a       234     1     5     2     4
  1.9113599439874034E+00 a       235     1     5     2     5
  6.4215828942590514E-01 a       236     1     5     2     6
 -3.2295258763397577E-01 a       237     1     5     2     7
 -1.9354155304195156E-03 a       238     1     5     2     8
  1.9541031929429559E-01 a       239     1     5     2     9
  1.8663195700702624E+00 a       240     1     5     2    10
  1.3054804853745392E+00 a       241     1     6     2     1
 -7.0319571714017148E-01 a       242     1     6     2     2
  4.3856683224252579E+00 a       243     1     6     2     3
  1.7384323253495959E+00 a       244     1     6     2     4
 -1.5905464755110146E+00 a       245     1     6     2     5
 -2.6174812898834771E-01 a       246     1     6     2     6
  2.5820323860137302E+00 a       247     1     6     2     7
  2.4342848585699826E+00 a       248     1     6     2     8
 -1.3033699833017782E+00 a       249     1     6     2     9
 -4.0892443818450952E-01 a       250     1     6     2    10
  8.6078768462371336E-01 a       251     1     7     2     1
 -1.0022116985222289E+00 a       252     1     7     2     2
 -1.7164402403921244E+00 a       253     1     7     2     3
  5.5255941869454839E-01 a       254     1     7     2     4
  3.2381875401080564E+00 a       255     1     7     2     5
  2.7245381560365907E+00 a       256     1     7     2     6
  2.0353085155629707E+00 a       257     1     7     2     7
  1.2407552823949715E+00 a       258     1     7     2     8
 -5.6474540494467007E-01 a       259     1     7     2     9
 -4.6840883123526456E-01 a       260     1     7     2    10
 -1.1807150776373889E+00 a       261     1     8     2     1
  3.4225592167140828E+00 a       262     1     8     2     2
 -4.3471851409557569E+00 a       263     1     8     2     3
  1.7526460718509014E+00 a       264     1     8     2     4
 -6.4073782166767346E-01 a       265     1     8     2     5
  1.7017948574845376E+00 a       266     1     8     2     6
  3.2408263156870172E+00 a       267     1     8     2     7
 -2.0160199290027578E-01 a       268     1     8     2     8
  8.5995024366554251E-01 a       269     1     8     2     9
  4.1872382220354307E+00 a       270     1     8     2    10
  1.9833574110213192E-01 a       271     1     9     2     1
 -2.2309254124674438E+00 a       272     1     9     2     2
  1.5535590592104589E+00 a       273     1     9     2     3
 -2.1335708617647460E+00 a       274     1     9     2     4
 -4.3476538341284510E+00 a       275     1     9     2     5
 -5.6450637452113794E-01 a       276     1     9     2     6
 -6.1429819532895547E+00 a       277     1     9     2     7
  1.8915222680610531E+00 a       278     1     9     2     8
  2.9097557786461694E+00 a       279     1     9     2     9
 -1.9579415322552614E+00 a       280     1     9     2    10
  2.3575108083727421E+00 a       281     1    10     2     1
  1.1513169460225556E+00 a       282     1    10     2     2
 -7.8445167066940451E+00 a       283     1    10     2     3
  1.0822688058079817E+00 a       284     1    10     2     4
 -1.4040910778341145E+00 a       285     1    10     2     5
 -1.7165488838508820E+00 a       286     1    10     2     6
 -5.2790500881933489E-01 a       287     1    10     2     7
  4.3946569838055076E+00 a       288     1    10     2     8
  8.4956911158084947E-01 a       289     1    10     2     9
  3.2471756426141831E+00 a       290     1    10     2    10
 -7.2239392147671677E-01 b       291     2     1
 -5.0795461832353217E+00 b       292     2     2
 -4.6364913896291277E-01 b       293     2     3
  1.2833558918964600E+00 b       294     2     4
 -7.1009799793385298E-01 b       295     2     5
 -1.7684125930434536E+00 b       296     2     6
  2.7832272739606201E+00 b       297     2     7
 -4.7145204497766953E+00 b       298     2     8
  2.0419940207513494E+00 b       299     2     9
 -6.2839763095008794E-01 b       300     2    10
 -8.6254542712663493E+00 a       301     2     1     3     1
  4.5145398359516253E-01 a       302     2     2     3     1
  3.3078048051019493E-01 a       303     2     3     3     1
  2.8466653541762041E+00 a       304     2     4     3     1
 -1.6281809847957707E+00 a       305     2     5     3     1
  3.3840218962811877E+00 a       306     2     6     3     1
 -1.7047508955425126E+00 a       307     2     7     3     1
 -1.2312492501987311E+00 a       308     2     8     3     1
  2.2785303864505684E+00 a       309     2     9     3     1
  1.2801068532099851E+00 a       310     2    10     3     1
  5.5638187543928908E+00 b       311     3     1
