ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        21.405344088535998     21.35521452577849      0.05012956275749963    0.0                    5.00107121034828       0.6491602231117889     5.1031587545857064     0.6513897493977927     0.4579187003995079     0.46102445156308514    50     316    0.0                    0.0                    0                      0                      0                      0                     
0           0          1        5.426753570992663      5.365542133640294      0.06121143723985163    1.1252049960662267e-10 2.13445824795715       0.6907536661032022     1.6847916106738512     0.6931344544478757     0.4849582239141828     0.4882583269102777     50     316    1.1240226618315183e-10 1.1823342347083918e-13 0                      0                      0                      0                     
0           0          2        4.715466118065586      4.659212011025759      0.05625410691802396    1.2180355359826436e-10 2.2295884048935988     0.671223291555561      2.0681462406312843     0.6735341025593519     0.4728530610881841     0.47606764331068396    50     316    1.2167007512430043e-10 1.33478473963938e-13   0                      0                      0                      0                     
0           0          3        3.3959631679205553     3.3525739614232055     0.04338920615675407    3.405975980005691e-10  1.8869105684419984     0.5966464197828183     1.7512645872837687     0.5986837965714426     0.4178990866184478     0.4207188038909881     50     316    3.4017470902948767e-10 4.2288897108142107e-13 0                      0                      0                      0                     
0           0          4        0.9827494172931075     0.9669029441919541     0.015846472053197017   1.0479566028499845e-09 1.0781386344390818     0.36444433210750826    1.0727890126239932     0.36563693813328907    0.2396497771334576     0.2412189387460629     50     316    1.0444698548877076e-09 3.4867479622769867e-12 0                      0                      0                      0                     
0           0          5        0.321331593658292      0.3054459867209812     0.015885605685581065   1.2517296505939575e-09 0.5827073831240864     0.31753966236894743    0.5669621435818567     0.31849436058794717    0.20701722342161388    0.20832962636803978    50     316    1.2467181136716536e-09 5.011536922304026e-12  0                      0                      0                      0                     
0           0          6        0.31960761230233187    0.30787656365746896    0.011731047131636465   1.513226390680739e-09  0.48157663473938395    0.28614818719941426    0.3859078788331699     0.28693721438061814    0.17668287027949753    0.17776937042513027    50     316    1.5065464538147999e-09 6.679936865939234e-12  0                      0                      0                      0                     
0           0          7        0.3030989266724169     0.2913287108044758     0.011770214316980741   1.550960529571937e-09  0.4652038853334133     0.28769645215599615    0.37000889489557415    0.28846957834976655    0.17750328095340764    0.17858858741616596    50     316    1.5438124049038476e-09 7.148124668089426e-12  0                      0                      0                      0                     
0           0          8        0.16532886051015383    0.15342525622975303    0.011903601239588626   3.0408120958686558e-09 0.34710981913115846    0.27656622909886425    0.2720997544279824     0.2771164633443324     0.16852953651210983    0.1695164070526016     50     316    3.0134469363081806e-09 2.7365159560475035e-11 0                      0                      0                      0                     
0           0          9        0.1140264664141135     0.09869395022211244    0.015332512473107832   3.7188932417255634e-09 0.28555425551175323    0.30918282079979287    0.24273206607825248    0.30976834484602367    0.19459684005138847    0.19574504548943356    50     316    3.679111327697824e-09  3.9781914027739156e-11 0                      0                      0                      0                     
